"Source","Target","Type","Id","Label","timeset","Weight"
1,185,"Directed",53,"The number of civil servants statisticsGeneral health care category (other) divided by parish pharmacies, drugstores and pharmacies as well as the number of pharmaceutical companies","",1
1,188,"Directed",54,"The number of civil servants statisticsFinancial management and expenditure budget actual expenditure category","",1
1,191,"Directed",55,"The number of civil servants statisticsThe number of deaths divided by category Health Group statistical underlying cause of death","",1
1,193,"Directed",56,"The number of civil servants statisticsHuman Resources category interns Overview","",1
1,195,"Directed",57,"The number of civil servants statisticsDisease Prevention and Control category by location number vaccinated","",1
1,196,"Directed",58,"The number of civil servants statisticsThe number of medical health statistics category","",1
1,197,"Directed",59,"The number of civil servants statisticsGeneral health care category (other) Macao medication profiles","",1
1,199,"Directed",60,"The number of civil servants statisticsFinancial management areas divided by actual expenditure budget","",1
1,203,"Directed",61,"The number of civil servants statisticsGeneral health care category (health center) are divided by age group Health Center outpatient visits","",1
1,208,"Directed",62,"The number of civil servants statisticsThe first ten reasons for seeking treatment in general health care category (Health Center) seeking primary health care","",1
1,213,"Directed",63,"The number of civil servants statisticsGeneral Health Care Category (Health Center) Health Center Medical Events","",1
1,214,"Directed",64,"The number of civil servants statisticsThe number of test general health care category (other) divided by virological test items","",1
1,217,"Directed",65,"The number of civil servants statisticsThe number of beds in the hospital category Health Statistics","",1
1,218,"Directed",66,"The number of civil servants statisticsThe number of test general health care category (other) divided by test items","",1
1,220,"Directed",67,"The number of civil servants statisticsSpecialized health care category divided by the specialist outpatient visits","",1
1,222,"Directed",68,"The number of civil servants statisticsThe number of inpatient specialized health care category divided by age group","",1
1,223,"Directed",69,"The number of civil servants statisticsSpecialized health care categories divided by age group outpatient visits","",1
1,225,"Directed",70,"The number of civil servants statisticsThe number of human resources category Health Bureau staff","",1
1,226,"Directed",71,"The number of civil servants statisticsGeneral health care category (other) Drug Monitoring Overview","",1
1,227,"Directed",72,"The number of civil servants statisticsThe number of (other) private medical activities in general health care category","",1
1,229,"Directed",73,"The number of civil servants statisticsNumber of notifiable diseases Disease Control and Prevention by vaccination by age category of preventable cases","",1
1,232,"Directed",74,"The number of civil servants statisticsDisease prevention and control category mosquito control work","",1
1,233,"Directed",75,"The number of civil servants statisticsGeneral health care category (other) illegal drugs industry inspection and processing overview","",1
1,234,"Directed",76,"The number of civil servants statisticsCDC Category injury deaths by accident category of","",1
1,239,"Directed",77,"The number of civil servants statisticsGeneral health care category (other) blood donors Overview","",1
1,240,"Directed",78,"The number of civil servants statisticsSpecialist Health Care Category Overview comprehensive assessment of Children","",1
1,241,"Directed",79,"The number of civil servants statisticsDisease Prevention and Control category by age group divided injury deaths","",1
1,243,"Directed",80,"The number of civil servants statisticsCDC vaccination plan major category of Macau coverage","",1
1,245,"Directed",81,"The number of civil servants statisticsThe number of senior health technician human resource subordinate units divided by category","",1
1,247,"Directed",82,"The number of civil servants statisticsGeneral health care category (other) blood collection overview","",1
1,249,"Directed",83,"The number of civil servants statisticsThe number of pharmacists human resources subordinate units divided by category","",1
1,250,"Directed",84,"The number of civil servants statisticsGeneral health care category (health center) health center health indicators","",1
1,251,"Directed",85,"The number of civil servants statisticsSpecialized health care emergency department Category Overview","",1
1,252,"Directed",86,"The number of civil servants statisticsHealth category health indicators Statistics","",1
1,253,"Directed",87,"The number of civil servants statisticsThe number of medical technicians human resources subordinate units divided by category","",1
1,254,"Directed",88,"The number of civil servants statisticsDisease prevention and control work category figures Radiological Protection category","",1
1,255,"Directed",89,"The number of civil servants statisticsThe number of injury accidents by cause category Disease Control and Prevention's division of injury","",1
1,256,"Directed",90,"The number of civil servants statisticsSpecialized health care category of diagnosis and treatment of laboratory examinations trips","",1
1,258,"Directed",91,"The number of civil servants statisticsSpecialized health care category is sub-divided specialist outpatient visits","",1
1,260,"Directed",92,"The number of civil servants statisticsGeneral health care category number License (other) health professionals","",1
1,261,"Directed",93,"The number of civil servants statisticsGeneral health care category (other) tobacco control inspections and prosecutions statistics","",1
1,263,"Directed",94,"The number of civil servants statisticsSpecialized health care category Conde S. Januario Hospital Medical Events","",1
1,264,"Directed",95,"The number of civil servants statisticsSpecialized health care category of patients rushed to the field of treatment divided by location for medical treatment","",1
1,266,"Directed",96,"The number of civil servants statisticsLicense number of health professionals in general health care category (other) divided by workplace","",1
1,267,"Directed",97,"The number of civil servants statisticsSpecialized health care category divided by age group of patients rushed to the field of treatment","",1
1,270,"Directed",98,"The number of civil servants statisticsSpecialized health care delivery room Category Overview","",1
1,272,"Directed",99,"The number of civil servants statisticsThe number of injury accidents Disease Control and Prevention category by category of accident","",1
1,275,"Directed",100,"The number of civil servants statisticsTen Disease Control and Prevention Category mandatory reporting of cases of disease","",1
1,277,"Directed",101,"The number of civil servants statisticsDisease prevention and control category according to the mandatory ten-year-old group is divided cases of notifiable diseases","",1
1,278,"Directed",102,"The number of civil servants statisticsDisease prevention and control category Community Health Working Group Overview","",1
1,279,"Directed",103,"The number of civil servants statisticsSpecialized health care category divided by specialty surgical passengers","",1
1,282,"Directed",104,"The number of civil servants statisticsCDC Category Ten new cases of cancer","",1
1,284,"Directed",105,"The number of civil servants statisticsDisease prevention and control and environmental context of the Ministry of Health food sampling work profile","",1
1,286,"Directed",106,"The number of civil servants statisticsHuman resources personnel category by age group distribution division","",1
1,290,"Directed",107,"The number of civil servants statisticsSpecialized health care Tuberculosis Prevention Center Category Overview","",1
1,292,"Directed",108,"The number of civil servants statisticsThe number of injury accidents Disease Control and Prevention category divided by age group","",1
1,293,"Directed",109,"The number of civil servants statisticsCDC category divided by age group HIV infection cases","",1
5,156,"Directed",110,"Macau Public Administration Magazine directoryCivil Aviation Authority of the Legislative Council reply to a written question","",1
7,9,"Directed",111,"Hotel / condo / apartment style hotel infoTour list","",1
7,10,"Directed",112,"Hotel / condo / apartment style hotel infoRestaurant Information","",1
7,27,"Directed",113,"Hotel / condo / apartment style hotel infoKara OK is a type of site information","",1
7,33,"Directed",114,"Hotel / condo / apartment style hotel infoBallroom information","",1
7,40,"Directed",115,"Hotel / condo / apartment style hotel infoSteam bath and massage parlor Information","",1
7,51,"Directed",116,"Hotel / condo / apartment style hotel infoThe site is a health club type information","",1
7,104,"Directed",117,"Hotel / condo / apartment style hotel infoTravel information","",1
7,113,"Directed",118,"Hotel / condo / apartment style hotel infoEvents Festivals table","",1
7,141,"Directed",119,"Hotel / condo / apartment style hotel infoHotel Reference Rate","",1
7,142,"Directed",120,"Hotel / condo / apartment style hotel infoTransferist list","",1
7,163,"Directed",121,"Hotel / condo / apartment style hotel infoLicensed operators of self-driving motor vehicle leasing company information","",1
7,202,"Directed",122,"Hotel / condo / apartment style hotel info""Star Tourism Services Accreditation Scheme 'award-winning restaurants and eateries","",1
7,237,"Directed",123,"Hotel / condo / apartment style hotel info""Star Tourism Services Accreditation Scheme 'award-winning travel agency","",1
7,300,"Directed",124,"Hotel / condo / apartment style hotel infoMacao air operator","",1
7,346,"Directed",125,"Hotel / condo / apartment style hotel infoMaintenance organizations","",1
7,350,"Directed",126,"Hotel / condo / apartment style hotel infoMaintenance Training Organization","",1
8,12,"Directed",127,"TravelersThe average price per square meter of residential units","",1
8,14,"Directed",128,"TravelersEmployed population median monthly employment earnings","",1
8,15,"Directed",129,"TravelersOverall residential property prices index","",1
8,16,"Directed",130,"TravelersThe newly established company","",1
8,21,"Directed",131,"TravelersThe average length of stay travelers","",1
8,23,"Directed",132,"TravelersParish Land area","",1
8,26,"Directed",133,"TravelersMacao SAR Resident Identity Card holders statistics","",1
8,28,"Directed",134,"TravelersExhibition activity","",1
8,43,"Directed",135,"TravelersThe number of lots statistics","",1
8,44,"Directed",136,"TravelersUAV application activity data","",1
8,48,"Directed",137,"TravelersWon wage workers instructions residential units","",1
8,50,"Directed",138,"TravelersDeparture flight punctuality rate","",1
8,52,"Directed",139,"TravelersApplications for trademark registration","",1
8,58,"Directed",140,"TravelersThe first set of the latest ""Gazette""","",1
8,61,"Directed",141,"TravelersThe overall unemployment rate","",1
8,62,"Directed",142,"TravelersPersonnel Licensing Overview","",1
8,68,"Directed",143,"TravelersVisitors per capita consumption","",1
8,72,"Directed",144,"TravelersThe hotel offers rooms and apartments","",1
8,74,"Directed",145,"TravelersThe average duration of the exhibition event / exhibition","",1
8,76,"Directed",146,"TravelersGross Domestic Product (expenditure) - current prices","",1
8,77,"Directed",147,"TravelersThe average daily wage of construction workers","",1
8,79,"Directed",148,"TravelersThe second set of the latest ""Gazette""","",1
8,80,"Directed",149,"TravelersOvernight visitors per capita consumption","",1
8,81,"Directed",150,"TravelersGolden Week statistics - Travelers","",1
8,83,"Directed",151,"TravelersThe average occupancy rate of hotels and guest-houses","",1
8,84,"Directed",152,"TravelersThe average salary of full-time employees gambling","",1
8,86,"Directed",153,"TravelersOffenses on aircraft","",1
8,88,"Directed",154,"TravelersThe total length of road traffic","",1
8,89,"Directed",155,"TravelersOvernight visitors","",1
8,90,"Directed",156,"TravelersBanking full-time employees","",1
8,92,"Directed",157,"TravelersPer capita GDP","",1
8,93,"Directed",158,"TravelersTotal import and export between China and Portuguese-speaking countries","",1
8,94,"Directed",159,"TravelersThe average length of stay of guests","",1
8,95,"Directed",160,"TravelersCPI - inflation","",1
8,97,"Directed",161,"TravelersTotal visitor spending","",1
8,101,"Directed",162,"TravelersPublic interest groups fitness data","",1
8,102,"Directed",163,"TravelersLand area","",1
8,107,"Directed",164,"TravelersUse License issued residential units","",1
8,108,"Directed",165,"TravelersDay visitors per capita consumption","",1
8,111,"Directed",166,"TravelersRetail sales","",1
8,114,"Directed",167,"TravelersStatistics of external merchandise trade - exports","",1
8,117,"Directed",168,"TravelersThe total length of roads","",1
8,127,"Directed",169,"TravelersExternal merchandise trade statistics - imports","",1
8,128,"Directed",170,"TravelersThe average salary of full-time employees Banking","",1
8,129,"Directed",171,"TravelersExhibition activity participants / spectators","",1
8,133,"Directed",172,"TravelersCEPA exports of goods","",1
8,134,"Directed",173,"TravelersDay visitors","",1
8,143,"Directed",174,"TravelersGaming full-time employees","",1
8,147,"Directed",175,"TravelersThe unemployment rate of local residents","",1
8,148,"Directed",176,"TravelersSpot residential property prices index","",1
8,150,"Directed",177,"TravelersSpectator sports information","",1
8,152,"Directed",178,"TravelersStatistical youth entrepreneurship assistance program - to benefit industry","",1
8,153,"Directed",179,"TravelersLocal residents Employment median monthly employment earnings","",1
8,157,"Directed",180,"TravelersThe cumulative total foreign direct investment","",1
8,158,"Directed",181,"TravelersLength of coastline","",1
8,159,"Directed",182,"TravelersPatent applications for invention registration","",1
8,168,"Directed",183,"TravelersReal growth rates of GDP","",1
8,172,"Directed",184,"TravelersPlace of business name and logo registration applications","",1
8,173,"Directed",185,"TravelersDesign and new registration applications","",1
8,175,"Directed",186,"TravelersAwarded the prize awards Sports Information","",1
8,176,"Directed",187,"TravelersYouth Business Assistance Program statistics - Application Overview","",1
8,180,"Directed",188,"TravelersThe cumulative total foreign direct investment","",1
8,183,"Directed",189,"TravelersUncompleted residential property price index","",1
8,184,"Directed",190,"TravelersThe average daily wage of construction workers in the field","",1
8,200,"Directed",191,"TravelersSpecial SME Credit Guarantee Scheme statistics - to benefit industry","",1
8,207,"Directed",192,"TravelersUtility patent registration applications","",1
8,209,"Directed",193,"TravelersSME Assistance Program statistics - Application Overview","",1
8,210,"Directed",194,"TravelersThe average daily wage of local construction workers","",1
8,211,"Directed",195,"TravelersThe value of exports of goods CEPA","",1
8,215,"Directed",196,"TravelersCEPA Macao Service Supplier Certificate","",1
8,219,"Directed",197,"TravelersThe average price per square meter of office units","",1
8,235,"Directed",198,"TravelersSME Credit Guarantee Scheme statistics - Application Overview","",1
8,242,"Directed",199,"TravelersThe average price per square meter of industrial units","",1
8,259,"Directed",200,"TravelersPatent applications invention extends","",1
8,295,"Directed",201,"TravelersSpecial SME Credit Guarantee Scheme statistics - Application Overview","",1
8,296,"Directed",202,"TravelersSME Assistance Program statistics - to benefit industry","",1
8,297,"Directed",203,"TravelersSME Credit Guarantee Scheme statistics - to benefit industry","",1
8,299,"Directed",204,"TravelersEncourage enterprises to upgrade statistical development subsidy program - Application Overview","",1
8,300,"Directed",205,"TravelersMacao air operator","",1
8,346,"Directed",206,"TravelersMaintenance organizations","",1
8,349,"Directed",207,"TravelersMacau to accept the aircraft type and model","",1
8,350,"Directed",208,"TravelersMaintenance Training Organization","",1
8,351,"Directed",209,"TravelersMacao registered aircraft","",1
9,10,"Directed",210,"Tour listRestaurant Information","",1
9,27,"Directed",211,"Tour listKara OK is a type of site information","",1
9,33,"Directed",212,"Tour listBallroom information","",1
9,40,"Directed",213,"Tour listSteam bath and massage parlor Information","",1
9,51,"Directed",214,"Tour listThe site is a health club type information","",1
9,104,"Directed",215,"Tour listTravel information","",1
9,113,"Directed",216,"Tour listEvents Festivals table","",1
9,142,"Directed",217,"Tour listTransferist list","",1
9,163,"Directed",218,"Tour listLicensed operators of self-driving motor vehicle leasing company information","",1
9,202,"Directed",219,"Tour list""Star Tourism Services Accreditation Scheme 'award-winning restaurants and eateries","",1
9,237,"Directed",220,"Tour list""Star Tourism Services Accreditation Scheme 'award-winning travel agency","",1
10,27,"Directed",221,"Restaurant InformationKara OK is a type of site information","",1
10,33,"Directed",222,"Restaurant InformationBallroom information","",1
10,40,"Directed",223,"Restaurant InformationSteam bath and massage parlor Information","",1
10,51,"Directed",224,"Restaurant InformationThe site is a health club type information","",1
10,104,"Directed",225,"Restaurant InformationTravel information","",1
10,113,"Directed",226,"Restaurant InformationEvents Festivals table","",1
10,142,"Directed",227,"Restaurant InformationTransferist list","",1
10,163,"Directed",228,"Restaurant InformationLicensed operators of self-driving motor vehicle leasing company information","",1
10,202,"Directed",229,"Restaurant Information""Star Tourism Services Accreditation Scheme 'award-winning restaurants and eateries","",1
10,237,"Directed",230,"Restaurant Information""Star Tourism Services Accreditation Scheme 'award-winning travel agency","",1
10,300,"Directed",231,"Restaurant InformationMacao air operator","",1
10,346,"Directed",232,"Restaurant InformationMaintenance organizations","",1
10,350,"Directed",233,"Restaurant InformationMaintenance Training Organization","",1
11,13,"Directed",234,"The number of civil servants statistics - divided by mother tongueDisease prevention and control of cancer death ten categories of cases","",1
11,18,"Directed",235,"The number of civil servants statistics - divided by mother tonguePersonnel rules and norms by private foundations and other public institutions the number of statistics","",1
11,29,"Directed",236,"The number of civil servants statistics - divided by mother tongueThe number of civil servants statistics - divided by place of birth","",1
11,30,"Directed",237,"The number of civil servants statistics - divided by mother tongueCertificate of Entitlement issued a number of statistics","",1
11,31,"Directed",238,"The number of civil servants statistics - divided by mother tongueThe number of civil servants statistics - divided by salary index points","",1
11,34,"Directed",239,"The number of civil servants statistics - divided by mother tongueMacau International Airport aircraft movements","",1
11,35,"Directed",240,"The number of civil servants statistics - divided by mother tonguePublic Service Training statistics - by training category","",1
11,38,"Directed",241,"The number of civil servants statistics - divided by mother tongueTen specialized health care category diagnosis and treatment of laboratory examinations trips","",1
11,45,"Directed",242,"The number of civil servants statistics - divided by mother tongueThe number of civil servants statistics - by oversight entities and other institutions division","",1
11,46,"Directed",243,"The number of civil servants statistics - divided by mother tongueNumber of Macao SAR travel documents issued statistics","",1
11,47,"Directed",244,"The number of civil servants statistics - divided by mother tongueThe number of civil servants statistics - divided by language knowledge","",1
11,54,"Directed",245,"The number of civil servants statistics - divided by mother tongueMacau International Airport passenger volume","",1
11,64,"Directed",246,"The number of civil servants statistics - divided by mother tongueChief Executive Election results statistics","",1
11,67,"Directed",247,"The number of civil servants statistics - divided by mother tongueCivil Aviation Authority of handling complaints and suggestions","",1
11,69,"Directed",248,"The number of civil servants statistics - divided by mother tongueCitizenship application statistics","",1
11,70,"Directed",249,"The number of civil servants statistics - divided by mother tongueThe number of civil servants statistics - divided by Qualification","",1
11,71,"Directed",250,"The number of civil servants statistics - divided by mother tongueNatural person voter registration statistics","",1
11,78,"Directed",251,"The number of civil servants statistics - divided by mother tongueCriminal record certificate issued quantity statistics","",1
11,82,"Directed",252,"The number of civil servants statistics - divided by mother tongueStatistics for the first time for identity cards Macao SAR","",1
11,85,"Directed",253,"The number of civil servants statistics - divided by mother tongueThe number of civil servants statistics - by age group and sex","",1
11,96,"Directed",254,"The number of civil servants statistics - divided by mother tongueGeneral Health Care Category (Health Center) divided by outpatient health centers","",1
11,99,"Directed",255,"The number of civil servants statistics - divided by mother tongueThe number of civil servants statistics - divided by employment law relationship","",1
11,106,"Directed",256,"The number of civil servants statistics - divided by mother tongueLegal voter registration statistics","",1
11,121,"Directed",257,"The number of civil servants statistics - divided by mother tongueMember Chief Executive Election Committee election results statistics","",1
11,126,"Directed",258,"The number of civil servants statistics - divided by mother tongueThe number of associations and consortia statistics","",1
11,132,"Directed",259,"The number of civil servants statistics - divided by mother tongueMacau International Airport cargo","",1
11,135,"Directed",260,"The number of civil servants statistics - divided by mother tongueHealth category according to the number of deaths divided by age group Statistics","",1
11,136,"Directed",261,"The number of civil servants statistics - divided by mother tongueBusiness charter flights and private aircraft movements","",1
11,145,"Directed",262,"The number of civil servants statistics - divided by mother tongueThe number of specialist human resources specialist department divided by category","",1
11,149,"Directed",263,"The number of civil servants statistics - divided by mother tongueThe number of inpatient specialized health care specialist divided by category","",1
11,154,"Directed",264,"The number of civil servants statistics - divided by mother tongueGeneral health care category (Other) Public Health Laboratory Overview","",1
11,156,"Directed",265,"The number of civil servants statistics - divided by mother tongueCivil Aviation Authority of the Legislative Council reply to a written question","",1
11,162,"Directed",266,"The number of civil servants statistics - divided by mother tongueHealth demographic category year-end","",1
11,171,"Directed",267,"The number of civil servants statistics - divided by mother tongueFinancial management agreement with the government category of private pharmacies","",1
11,178,"Directed",268,"The number of civil servants statistics - divided by mother tongueFinancial Management Category Medicaid","",1
11,185,"Directed",269,"The number of civil servants statistics - divided by mother tongueGeneral health care category (other) divided by parish pharmacies, drugstores and pharmacies as well as the number of pharmaceutical companies","",1
11,188,"Directed",270,"The number of civil servants statistics - divided by mother tongueFinancial management and expenditure budget actual expenditure category","",1
11,191,"Directed",271,"The number of civil servants statistics - divided by mother tongueThe number of deaths divided by category Health Group statistical underlying cause of death","",1
11,193,"Directed",272,"The number of civil servants statistics - divided by mother tongueHuman Resources category interns Overview","",1
11,195,"Directed",273,"The number of civil servants statistics - divided by mother tongueDisease Prevention and Control category by location number vaccinated","",1
11,196,"Directed",274,"The number of civil servants statistics - divided by mother tongueThe number of medical health statistics category","",1
11,197,"Directed",275,"The number of civil servants statistics - divided by mother tongueGeneral health care category (other) Macao medication profiles","",1
11,199,"Directed",276,"The number of civil servants statistics - divided by mother tongueFinancial management areas divided by actual expenditure budget","",1
11,203,"Directed",277,"The number of civil servants statistics - divided by mother tongueGeneral health care category (health center) are divided by age group Health Center outpatient visits","",1
11,208,"Directed",278,"The number of civil servants statistics - divided by mother tongueThe first ten reasons for seeking treatment in general health care category (Health Center) seeking primary health care","",1
11,213,"Directed",279,"The number of civil servants statistics - divided by mother tongueGeneral Health Care Category (Health Center) Health Center Medical Events","",1
11,214,"Directed",280,"The number of civil servants statistics - divided by mother tongueThe number of test general health care category (other) divided by virological test items","",1
11,217,"Directed",281,"The number of civil servants statistics - divided by mother tongueThe number of beds in the hospital category Health Statistics","",1
11,218,"Directed",282,"The number of civil servants statistics - divided by mother tongueThe number of test general health care category (other) divided by test items","",1
11,220,"Directed",283,"The number of civil servants statistics - divided by mother tongueSpecialized health care category divided by the specialist outpatient visits","",1
11,222,"Directed",284,"The number of civil servants statistics - divided by mother tongueThe number of inpatient specialized health care category divided by age group","",1
11,223,"Directed",285,"The number of civil servants statistics - divided by mother tongueSpecialized health care categories divided by age group outpatient visits","",1
11,225,"Directed",286,"The number of civil servants statistics - divided by mother tongueThe number of human resources category Health Bureau staff","",1
11,226,"Directed",287,"The number of civil servants statistics - divided by mother tongueGeneral health care category (other) Drug Monitoring Overview","",1
11,227,"Directed",288,"The number of civil servants statistics - divided by mother tongueThe number of (other) private medical activities in general health care category","",1
11,229,"Directed",289,"The number of civil servants statistics - divided by mother tongueNumber of notifiable diseases Disease Control and Prevention by vaccination by age category of preventable cases","",1
11,232,"Directed",290,"The number of civil servants statistics - divided by mother tongueDisease prevention and control category mosquito control work","",1
11,233,"Directed",291,"The number of civil servants statistics - divided by mother tongueGeneral health care category (other) illegal drugs industry inspection and processing overview","",1
11,234,"Directed",292,"The number of civil servants statistics - divided by mother tongueCDC Category injury deaths by accident category of","",1
11,239,"Directed",293,"The number of civil servants statistics - divided by mother tongueGeneral health care category (other) blood donors Overview","",1
11,240,"Directed",294,"The number of civil servants statistics - divided by mother tongueSpecialist Health Care Category Overview comprehensive assessment of Children","",1
11,241,"Directed",295,"The number of civil servants statistics - divided by mother tongueDisease Prevention and Control category by age group divided injury deaths","",1
11,243,"Directed",296,"The number of civil servants statistics - divided by mother tongueCDC vaccination plan major category of Macau coverage","",1
11,245,"Directed",297,"The number of civil servants statistics - divided by mother tongueThe number of senior health technician human resource subordinate units divided by category","",1
11,247,"Directed",298,"The number of civil servants statistics - divided by mother tongueGeneral health care category (other) blood collection overview","",1
11,249,"Directed",299,"The number of civil servants statistics - divided by mother tongueThe number of pharmacists human resources subordinate units divided by category","",1
11,250,"Directed",300,"The number of civil servants statistics - divided by mother tongueGeneral health care category (health center) health center health indicators","",1
11,251,"Directed",301,"The number of civil servants statistics - divided by mother tongueSpecialized health care emergency department Category Overview","",1
11,252,"Directed",302,"The number of civil servants statistics - divided by mother tongueHealth category health indicators Statistics","",1
11,253,"Directed",303,"The number of civil servants statistics - divided by mother tongueThe number of medical technicians human resources subordinate units divided by category","",1
11,254,"Directed",304,"The number of civil servants statistics - divided by mother tongueDisease prevention and control work category figures Radiological Protection category","",1
11,255,"Directed",305,"The number of civil servants statistics - divided by mother tongueThe number of injury accidents by cause category Disease Control and Prevention's division of injury","",1
11,256,"Directed",306,"The number of civil servants statistics - divided by mother tongueSpecialized health care category of diagnosis and treatment of laboratory examinations trips","",1
11,258,"Directed",307,"The number of civil servants statistics - divided by mother tongueSpecialized health care category is sub-divided specialist outpatient visits","",1
11,260,"Directed",308,"The number of civil servants statistics - divided by mother tongueGeneral health care category number License (other) health professionals","",1
11,261,"Directed",309,"The number of civil servants statistics - divided by mother tongueGeneral health care category (other) tobacco control inspections and prosecutions statistics","",1
11,263,"Directed",310,"The number of civil servants statistics - divided by mother tongueSpecialized health care category Conde S. Januario Hospital Medical Events","",1
11,264,"Directed",311,"The number of civil servants statistics - divided by mother tongueSpecialized health care category of patients rushed to the field of treatment divided by location for medical treatment","",1
11,266,"Directed",312,"The number of civil servants statistics - divided by mother tongueLicense number of health professionals in general health care category (other) divided by workplace","",1
11,267,"Directed",313,"The number of civil servants statistics - divided by mother tongueSpecialized health care category divided by age group of patients rushed to the field of treatment","",1
11,270,"Directed",314,"The number of civil servants statistics - divided by mother tongueSpecialized health care delivery room Category Overview","",1
11,272,"Directed",315,"The number of civil servants statistics - divided by mother tongueThe number of injury accidents Disease Control and Prevention category by category of accident","",1
11,275,"Directed",316,"The number of civil servants statistics - divided by mother tongueTen Disease Control and Prevention Category mandatory reporting of cases of disease","",1
11,277,"Directed",317,"The number of civil servants statistics - divided by mother tongueDisease prevention and control category according to the mandatory ten-year-old group is divided cases of notifiable diseases","",1
11,278,"Directed",318,"The number of civil servants statistics - divided by mother tongueDisease prevention and control category Community Health Working Group Overview","",1
11,279,"Directed",319,"The number of civil servants statistics - divided by mother tongueSpecialized health care category divided by specialty surgical passengers","",1
11,282,"Directed",320,"The number of civil servants statistics - divided by mother tongueCDC Category Ten new cases of cancer","",1
