dataset_name_en,url,Summary,Open conditions,Data Classification,Data Format,Provide departments / entities,Department Phone Number,Department E-Mail,Update frequency,Basic Info API,Field Name,Field Types,Field Var Len,Field Description (T_Chinese),Field Description (S_Chinese),Field Description (English),Field Description (Portuguese),has_api,API name,Request Method,Return Format,API url,Interface Description,api_key,api_val,api_summary_en
Restaurant Information,https://data.gov.mo/Detail?id=8b759bf6-3458-4f8c-be22-2de3638f4ed6,The entity has been licensed - Restaurant Information,Completely open,Tourism and Gaming,XML,Tourism,(853)28315566,webmaster@macaotourism.gov.mo,daily,https://api.data.gov.mo/document/download/8b759bf6-3458-4f8c-be22-2de3638f4ed6?token=0nfMVXXUzjlx1RCb7S0kZBMIKGiqDmhr&isNeedFile=0&lang=TC,"['id', 'dish_name_zh', 'dish_name_gb', 'dish_name_en', 'dish_name_pt', 'name_zh', 'name_gb', 'name_en', 'name_pt', 'address_zn', 'address_gb', 'address_en', 'address_pt', 'hour_cn', 'hour_en', 'hour_pt', 'tel', 'fax', 'email', 'website', 'class_id']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['餐廳序號', '繁體中文菜式分類名稱', '簡體中文菜式分類名稱', '英文菜式分類名稱', '葡文菜式分類名稱', '繁體中文名稱', '簡體中文名稱', '英文名稱', '葡文名稱', '繁體中文地址', '簡體中文地址', '英文地址', '葡文地址', '中文營業時間', '英文營業時間', '葡文營業時間', '聯絡電話', '傳真號碼', '聯絡電郵', '網址', '餐廳分類號碼']","['餐厅序号', '繁体中文菜式分类名称', '简体中文菜式分类名称', '英文菜式分类名称', '葡文菜式分类名称', '繁体中文名称', '简体中文名称', '英文名称', '葡文名称', '繁体中文地址', '简体中文地址', '英文地址', '葡文地址', '中文营业时间', '英文营业时间', '葡文营业时间', '联络电话', '传真号码', '联络电邮', '网址', '餐厅分类号码']","['Restaurant id', 'Dish name in T.Chinese', 'Dish name in S.Chinese', 'Dish name in English', 'Dish name in Portuguese', 'Name in T.Chinese', 'Name in S.Chinese', 'Name in English', 'Name in Portuguese', 'Address in T.Chinese', 'Address in S.Chinese', 'Address in English', 'Address in Portuguese', 'Open hours in Chinese', 'Open hours in English', 'Open hours in Portguese', 'Contact Number', 'Fax', 'Email', 'Website', 'Catogory id']","['Número de série dos restaurantes', 'Nome de classificação dos pratos em T.chinês', 'Nome de classificação dos pratos em S.chinês', 'Nome de classificação dos pratos em inglês', 'Nome de classificação dos pratos em português', 'Nome em T.chinês', 'Nome em S.chinês', 'Endereço em inglês', 'Nome em português', 'Endereço em T.chinês', 'Endereço em S.chinês', 'Endereço em inglês', 'Endereço em português', 'Horários em funcionamento em chinês', 'Horários em funcionamento em inglês', 'Horários em funcionamento em português', 'Telefone de contacto', 'Número do Fax', 'Endereço electrónico', 'Website', 'Número de classificação dos restaurantes']",TRUE,dst_restaurant_list,GET,XML,https://dst.apigateway.data.gov.mo/dst_restaurant,Licensed Entities - The Restaurant Licensed Entities - Restaurants Licensed Entities - The Restaurant Entidades Licenciadas - Restaurantes,Authorization,APPCODE 09d43a591fba407fb862412970667de4,Required parameter call api
The number of civil servants statistics - divided by mother tongue,https://data.gov.mo/Detail?id=be8e4cc1-18e0-492d-9f24-e185698d200c,"Annualized quarterly way to provide the number of civil servants of Macao Special Administrative Region of public administration human resources division by mother tongue (2015 Year - 2020). It does not include rules and norms by private foundations and public agencies (including the Macao Foundation, the Macao Trade and Investment Promotion Institute, Macau Monetary Authority, the University of Macau, Macao Polytechnic Institute and the Civil Aviation Authority) personnel.",Completely open,Administrative and Legal Affairs,CSV,Chief Civil Service Bureau,（853）88099171,dprtsp@safp.gov.mo,Quarterly,https://api.data.gov.mo/document/download/be8e4cc1-18e0-492d-9f24-e185698d200c?token=paKJ7b4c2tiAfodx7fdSuO0OcUwwZTv6&isNeedFile=0&lang=TC,"['year', 'quarter', 'motherLanguage', 'total']","['-', '-', '-', '-']","['-', '-', '-', '-']","['年份', '季度', '母語', '加總人數']","['年份', '季度', '母语', '加总人数']","['year', 'quarter', 'mother language', 'total']","['Ano', 'Trimestre', 'Língua materna', 'Total']",FALSE,,,,,,,,
The average price per square meter of residential units,https://data.gov.mo/Detail?id=fc579d6a-4605-43d0-b23c-a25d997f9e44,Per square meter of usable area average transaction price.,Completely open,Demography,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/fc579d6a-4605-43d0-b23c-a25d997f9e44?token=3hWTl9Q9spLmU8t97PVEEX41fzURrCLv&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '澳門元/平方米']","['年份', '澳门元/平方米']","['Year', 'MOP/m2']","['Ano', 'MOP/m2']",FALSE,,,,,,,,
Disease prevention and control of cancer death ten categories of cases,https://data.gov.mo/Detail?id=420d8915-1599-4fee-9cba-50df76c482ee,"Disease prevention and control category, ten cases of cancer death",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/420d8915-1599-4fee-9cba-50df76c482ee?token=kB0P33L2pNT23N56wvwk0G6KIDOGfRAvI&isNeedFile=0&lang=TC,"['year', 'category', 'typeTC', 'typePT', 'gender', 'count']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['年度', '國際疾病分類第10版', '癌症部位 / 類別(中文)', '癌症部位 / 類別(葡文)', '性別', '個案數目']","['年度', '国际疾病分类第10版', '癌症部位 / 类别(中文)', '癌症部位 / 类别(葡文)', '性别', '个案数目']","['year', 'CID-10', 'Local / Tipo de cancro(chinese)', 'Local / Tipo de cancro(português)', 'gender', 'number of cases']","['year', 'CID-10', 'Local / Tipo de cancro(chinese)', 'Local / Tipo de cancro(português)', 'gender', 'number of cases']",FALSE,,,,,,,,
Employed population median monthly employment earnings,https://data.gov.mo/Detail?id=00d591b9-781c-4583-a440-896e9e89d9fc,"For reward, profit or family income while working at least one hour in the reference period aged 16 and over. Including but not go to work to maintain formal working relationship with employers and employees, and the company owners or shareholders for some reason does not work temporarily. For the employee's income from work refers to the work of compensation, including salary, commissions, tips, overtime pay, bonuses, allowances, double pay, bonuses, and other rewards are paid directly by the employer. Income from work for an employer and self-employed persons refers to the balance of production expenses and asset depreciation deducted from the total production.",Completely open,Obtain employment,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/00d591b9-781c-4583-a440-896e9e89d9fc?token=TMCBHovVD5Dvf7J0U4RLIccxAm3VhhxKL&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '月工作收入中位數/澳門元']","['年份', '月工作收入中位数/澳门元']","['Year', 'Median monthly employment earnings/MOP']","['Ano', 'Mediana do rendimento mensal do emprego/MOP']",FALSE,,,,,,,,
Overall residential property prices index,https://data.gov.mo/Detail?id=111c078e-729d-47af-b5f0-edd03444590e,Reflect changes in the price of residential units between the reference period and the base period.,Completely open,Demography,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/111c078e-729d-47af-b5f0-edd03444590e?token=iW8Il0THCbsWjUu2TMzNhhbQMnUJANXf&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '指數']","['年份', '指数']","['Year', 'Index']","['Ano', 'Índice']",FALSE,,,,,,,,
The newly established company,https://data.gov.mo/Detail?id=094324ef-45cb-4d5f-9004-77e6d82c1042,"Organized by one or more shareholders together, according to legal procedures to complete the registration and company registration.",Completely open,Entrepreneurship and Business,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/094324ef-45cb-4d5f-9004-77e6d82c1042?token=IFHU42vJUBGgP3ZcxbomjYX9sbbrrbWLA&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '數目']","['年份', '数目']","['Year', 'Number']","['Ano', 'Número']",FALSE,,,,,,,,
Real-time weather,https://data.gov.mo/Detail?id=712bf9fa-2ec1-4762-aa55-2cdaf23dd563,"Hourly weather the whole point of fact, including temperature, humidity, wind direction and speed and other information.",Completely open,city ​​environment,XML,Meteorological and Geophysical Bureau,(853) 8898 6223,meteo@smg.gov.mo,As needed,https://api.data.gov.mo/document/download/712bf9fa-2ec1-4762-aa55-2cdaf23dd563?token=UMZqt2RfxRUS3txrcBKLNfFOEmdW5A7j&isNeedFile=0&lang=TC,,,,,,,,FALSE,,,,,,,,
Personnel rules and norms by private foundations and other public institutions the number of statistics,https://data.gov.mo/Detail?id=5666b930-8b8d-4022-bc09-bb27bd1aa205,The annual number of staff Macao Special Administrative Region to provide public administration in human resources rules and norms by private foundations and public institutions on a quarterly way.,Completely open,Administrative and Legal Affairs,CSV,Chief Civil Service Bureau,（853）88099171,dprtsp@safp.gov.mo,Quarterly,https://api.data.gov.mo/document/download/5666b930-8b8d-4022-bc09-bb27bd1aa205?token=33vGrQ19DgFOsLw3ZoO5xpaUcw9vU1HHg&isNeedFile=0&lang=TC,"['year', 'quarter', 'total']","['-', '-', '-']","['-', '-', '-']","['年份', '季度', '加總人數']","['年份', '季度', '加总人数']","['year', 'quarter', 'total']","['Ano', 'Trimestre', 'Total']",FALSE,,,,,,,,
The number of Macao students in further education outside the Macao Statistics ─ divided according to the degree course,https://data.gov.mo/Detail?id=7b5de9ad-e295-41f8-b0a6-38608d562eee,"By way of the academic year, the number of Macao students provided by external studies degree course divided.",Completely open,education,CSV,Council of Higher Education,（853）2834 5403,info@dses.gov.mo,Per year,https://api.data.gov.mo/document/download/7b5de9ad-e295-41f8-b0a6-38608d562eee?token=nnzSHXRXEMnHwsfWVbisT1Ew9wEEDEXG&isNeedFile=0&lang=TC,"['period', 'levelOfStudyTC', 'levelOfStudyPT', 'value']","['string', 'string', 'string', 'number']","['-', '-', '-', '-']","['年份', '課程程度(繁體中文)', '課程程度(葡文)', '在外升學本地學生人數']","['年份', '课程程度(繁体中文)', '课程程度(葡文)', '在外升学本地学生人数']","['-', '-', '-', '-']","['Ano', 'Nível de curso (caracteres chineses)', 'Nível de curso (caracteres em português)', 'Número de estudantes locais que prosseguem os seus estudos no exterior']",FALSE,,,,,,,,
